track_name,track_artist,track_album_name,track_album_release_date,playlist_genre
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019-06-14,pop
Memories - Dillon Francis Remix,Maroon 5,Memories (Dillon Francis Remix),2019-12-13,pop
All the Time - Don Diablo Remix,Zara Larsson,All the Time (Don Diablo Remix),2019-07-05,pop
Call You Mine - Keanu Silva Remix,The Chainsmokers,Call You Mine - The Remixes,2019-07-19,pop
Someone You Loved - Future Humans Remix,Lewis Capaldi,Someone You Loved (Future Humans Remix),2019-03-05,pop
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,Beautiful People (feat. Khalid) [Jack Wins Remix],2019-07-11,pop
Never Really Over - R3HAB Remix,Katy Perry,Never Really Over (R3HAB Remix),2019-07-26,pop
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,Post Malone (feat. RANI) [GATTÜSO Remix],2019-08-29,pop
Tough Love - Tiësto Remix / Radio Edit,Avicii,Tough Love (Tiësto Remix),2019-06-14,pop
If I Can't Have You - Gryffin Remix,Shawn Mendes,If I Can't Have You (Gryffin Remix),2019-06-20,pop
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019-06-21,pop
Hate Me - R3HAB Remix,Ellie Goulding,Hate Me (R3HAB Remix),2019-08-16,pop
Body On My,Loud Luxury,Body On My,2019-03-29,pop
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,SOS (Laidback Luke Tribute Remix),2019-05-17,pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019-07-12,pop
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019-12-11,pop
All My Friends - Eden Prince Remix,AJ Mitchell,All My Friends (Eden Prince Remix),2019-05-03,pop
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018-12-28,pop
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019-03-08,pop
Let It Be Me - Sondr Remix,Steve Aoki,Let It Be Me (Remixes),2019-10-18,pop
Heaven - David Guetta & MORTEN Remix,Avicii,Heaven (David Guetta & MORTEN Remix),2019-08-23,pop
All Around The World (La La La) - Marnik Remix,R3HAB,All Around The World (La La La) [Marnik Remix],2019-08-23,pop
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019-05-08,pop
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,Slow Dance (feat. Ava Max) [Sam Feldt Remix],2019-10-25,pop
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019-05-24,pop
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,Hold Me While You Wait (Steve Void Remix),2019-06-21,pop
One Thing Right - Firebeatz Remix,Marshmello,One Thing Right (Remixes),2019-08-09,pop
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,Close To Me (Remixes),2019-02-01,pop
So Am I - Toby Green Remix,Ava Max,So Am I (Toby Green Remix),2019-05-23,pop
When You Leave - Breathe Carolina Remix,Nikki Vianna,When You Leave (Breathe Carolina Remix),2019-04-19,pop
Mother - Fedde Le Grand Remix,Charlie Puth,Mother (Fedde Le Grand Remix),2019-11-01,pop
